Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra,size
Item Size: XXS,Overall Fit: True to Size,178,84,72,93,32,6
Item Size: XXS,Overall Fit: True to Size,153,79,61,82,32,7
Item Size: XS,Overall Fit: True to Size,160,89,61,94,32,26
Item Size: XS,Overall Fit: True to Size,150,77,61,85,32,33
Item Size: XS,Overall Fit: True to Size,163,78,66,82,32,35
Item Size: XS,Overall Fit: True to Size,141,73,66,84,34,48
Item Size: XS,Overall Fit: True to Size,137,70,61,81,34,46
Item Size: XS,Overall Fit: True to Size,158,74,65,89,32,30
Item Size: XS,Overall Fit: True to Size,158,74,65,89,32,34
Item Size: XS,Overall Fit: True to Size,155,81,62,83,32,30
Item Size: XS,Overall Fit: True to Size,155,81,62,83,32,37
Item Size: XS,Overall Fit: True to Size,169,83,70,80,32,49
Item Size: XS,Overall Fit: True to Size,163,75,63,80,32,48
Item Size: XS,Overall Fit: True to Size,158,87,67,92,34,37
Item Size: XS,Overall Fit: True to Size,157,79,61,86,32,44
Item Size: XS,Overall Fit: True to Size,137,72,61,80,32,41
Item Size: XS,Overall Fit: True to Size,160,82,64,89,32,45
Item Size: XS,Overall Fit: True to Size,163,82,60,86,32,36
Item Size: XS,Overall Fit: True to Size,177,72,64,82,32,42
Item Size: XS,Overall Fit: True to Size,164,87,66,86,34,27
Item Size: XS,Overall Fit: True to Size,163,82,64,85,34,29
Item Size: XS,Overall Fit: True to Size,147,77,61,80,32,44
Item Size: XS,Overall Fit: True to Size,159,86,62,81,34,40
Item Size: XS,Overall Fit: True to Size,159,86,62,81,34,38
Item Size: XS,Overall Fit: True to Size,137,70,60,80,32,34
Item Size: XS,Overall Fit: True to Size,165,82,65,83,32,27
Item Size: XS,Overall Fit: True to Size,163,82,61,87,32,45
Item Size: XS,Overall Fit: True to Size,150,77,61,85,32,40
Item Size: XS,Overall Fit: True to Size,140,82,66,82,32,41
Item Size: XS,Overall Fit: True to Size,157,81,68,86,32,35
Item Size: XS,Overall Fit: True to Size,150,70,60,80,34,26
Item Size: XS,Overall Fit: True to Size,157,81,68,86,32,33
Item Size: XS,Overall Fit: True to Size,150,70,60,80,34,46
Item Size: XS,Overall Fit: True to Size,162,85,60,85,32,36
Item Size: XS,Overall Fit: True to Size,151,79,64,80,32,28
Item Size: XS,Overall Fit: True to Size,155,82,61,84,32,28
Item Size: XS,Overall Fit: True to Size,137,70,60,80,32,37
Item Size: XS,Overall Fit: True to Size,166,80,64,87,32,39
Item Size: XS,Overall Fit: True to Size,149,79,64,87,32,33
Item Size: XS,Overall Fit: True to Size,157,80,61,89,32,44
Item Size: XS,Overall Fit: True to Size,165,70,60,87,32,27
Item Size: XS,Overall Fit: True to Size,155,81,66,83,32,30
Item Size: XS,Overall Fit: True to Size,176,85,61,83,32,41
Item Size: XS,Overall Fit: True to Size,165,76,66,80,34,28
Item Size: XS,Overall Fit: True to Size,150,77,69,88,32,41
