Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra Size
Item Size: S,Overall Fit: True to Size,160,88,65,87,34
Item Size: XS,Overall Fit: Small,156,82,60,80,32
Item Size: XS,Overall Fit: True to Size,149,79,64,87,32
Item Size: M,Overall Fit: Small,146,88,67,97,34
Item Size: S,Overall Fit: True to Size,141,85,65,89,32
Item Size: XS,Overall Fit: True to Size,157,80,61,89,32
Item Size: L,Overall Fit: True to Size,173,90,70,93,34
Item Size: M,Overall Fit: True to Size,178,86,66,94,36
Item Size: L,Overall Fit: True to Size,169,105,70,97,36
Item Size: S,Overall Fit: True to Size,152,70,60,80,34
Item Size: M,Overall Fit: Small,142,70,60,80,34
Item Size: S,Overall Fit: True to Size,154,82,71,91,36
Item Size: XS,Overall Fit: True to Size,165,70,60,87,32
Item Size: S,Overall Fit: True to Size,157,84,80,87,32
Item Size: XS,Overall Fit: True to Size,155,81,66,83,32
Item Size: XS,Overall Fit: True to Size,176,85,61,83,32
Item Size: M,Overall Fit: True to Size,170,90,74,94,32
Item Size: S,Overall Fit: True to Size,137,82,66,82,32
Item Size: S,Overall Fit: True to Size,148,87,70,102,34
Item Size: S,Overall Fit: True to Size,158,72,61,83,36
Item Size: S,Overall Fit: True to Size,172,70,68,80,32
Item Size: S,Overall Fit: True to Size,155,89,71,99,32
Item Size: S,Overall Fit: True to Size,160,83,65,83,32
Item Size: L,Overall Fit: Small,152,87,73,96,32
Item Size: S,Overall Fit: Small,152,87,73,96,32
Item Size: M,Overall Fit: Small,155,87,70,85,34
Item Size: S,Overall Fit: True to Size,162,85,60,85,32
Item Size: XS,Overall Fit: True to Size,165,76,66,80,34
Item Size: M,Overall Fit: Small,160,91,66,86,34
Item Size: S,Overall Fit: Small,149,84,67,91,32
Item Size: S,Overall Fit: True to Size,162,88,66,93,32
Item Size: S,Overall Fit: True to Size,148,84,65,84,32
Item Size: XS,Overall Fit: True to Size,150,77,69,88,32
Item Size: S,Overall Fit: Small,162,87,68,107,32
Item Size: S,Overall Fit: True to Size,160,87,66,89,34
Item Size: S,Overall Fit: True to Size,154,86,66,83,32
Item Size: M,Overall Fit: True to Size,160,93,68,86,34
Item Size: S,Overall Fit: True to Size,165,82,69,86,32
Item Size: XS,Overall Fit: True to Size,165,82,61,91,32
Item Size: M,Overall Fit: True to Size,165,83,67,80,32
Item Size: S,Overall Fit: True to Size,170,89,66,94,34
Item Size: L,Overall Fit: Small,164,87,63,97,32
Item Size: L,Overall Fit: Small,178,95,77,97,36
Item Size: S,Overall Fit: True to Size,153,84,65,86,34
Item Size: S,Overall Fit: Small,165,81,68,84,32
