,Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra,new
0,Item Size: XXS,Overall Fit: True to Size,178,84,72,93,81.28,-2.4386974599737807
1,Item Size: XXS,Overall Fit: True to Size,153,79,61,82,81.28,-2.4386974599737807
2,Item Size: XS,Overall Fit: True to Size,160,89,61,94,81.28,-1.4066965817296677
3,Item Size: XS,Overall Fit: True to Size,150,77,61,85,81.28,-1.4066965817296677
4,Item Size: XS,Overall Fit: True to Size,163,78,66,82,81.28,-1.4066965817296677
5,Item Size: XS,Overall Fit: True to Size,141,73,66,84,86.36,-1.4066965817296677
6,Item Size: XS,Overall Fit: True to Size,137,70,61,81,86.36,-1.4066965817296677
7,Item Size: XS,Overall Fit: True to Size,158,74,65,89,81.28,-1.4066965817296677
8,Item Size: XS,Overall Fit: True to Size,158,74,65,89,81.28,-1.4066965817296677
9,Item Size: XS,Overall Fit: True to Size,155,81,62,83,81.28,-1.4066965817296677
10,Item Size: XS,Overall Fit: True to Size,155,81,62,83,81.28,-1.4066965817296677
11,Item Size: XS,Overall Fit: True to Size,169,83,70,80,81.28,-1.4066965817296677
12,Item Size: XS,Overall Fit: True to Size,163,75,63,80,81.28,-1.4066965817296677
13,Item Size: XS,Overall Fit: True to Size,158,87,67,92,86.36,-1.4066965817296677
14,Item Size: XS,Overall Fit: True to Size,157,79,61,86,81.28,-1.4066965817296677
15,Item Size: XS,Overall Fit: True to Size,137,72,61,80,81.28,-1.4066965817296677
16,Item Size: XS,Overall Fit: True to Size,160,82,64,89,81.28,-1.4066965817296677
17,Item Size: XS,Overall Fit: True to Size,163,82,60,86,81.28,-1.4066965817296677
18,Item Size: XS,Overall Fit: True to Size,177,72,64,82,81.28,-1.4066965817296677
19,Item Size: XS,Overall Fit: True to Size,164,87,66,86,86.36,-1.4066965817296677
20,Item Size: XS,Overall Fit: True to Size,163,82,64,85,86.36,-1.4066965817296677
21,Item Size: XS,Overall Fit: True to Size,147,77,61,80,81.28,-1.4066965817296677
22,Item Size: XS,Overall Fit: True to Size,159,86,62,81,86.36,-1.4066965817296677
23,Item Size: XS,Overall Fit: True to Size,159,86,62,81,86.36,-1.4066965817296677
24,Item Size: XS,Overall Fit: True to Size,137,70,60,80,81.28,-1.4066965817296677
25,Item Size: XS,Overall Fit: True to Size,165,82,65,83,81.28,-1.4066965817296677
26,Item Size: XS,Overall Fit: True to Size,163,82,61,87,81.28,-1.4066965817296677
27,Item Size: XS,Overall Fit: True to Size,150,77,61,85,81.28,-1.4066965817296677
28,Item Size: XS,Overall Fit: True to Size,140,82,66,82,81.28,-1.4066965817296677
29,Item Size: XS,Overall Fit: True to Size,157,81,68,86,81.28,-1.4066965817296677
30,Item Size: XS,Overall Fit: True to Size,150,70,60,80,86.36,-1.4066965817296677
31,Item Size: XS,Overall Fit: True to Size,157,81,68,86,81.28,-1.4066965817296677
32,Item Size: XS,Overall Fit: True to Size,150,70,60,80,86.36,-1.4066965817296677
33,Item Size: XS,Overall Fit: True to Size,162,85,60,85,81.28,-1.4066965817296677
34,Item Size: XS,Overall Fit: True to Size,151,79,64,80,81.28,-1.4066965817296677
35,Item Size: XS,Overall Fit: True to Size,155,82,61,84,81.28,-1.4066965817296677
36,Item Size: XS,Overall Fit: True to Size,137,70,60,80,81.28,-1.4066965817296677
37,Item Size: XS,Overall Fit: True to Size,166,80,64,87,81.28,-1.4066965817296677
38,Item Size: XS,Overall Fit: True to Size,149,79,64,87,81.28,-1.4066965817296677
39,Item Size: XS,Overall Fit: True to Size,157,80,61,89,81.28,-1.4066965817296677
40,Item Size: XS,Overall Fit: True to Size,165,70,60,87,81.28,-1.4066965817296677
41,Item Size: XS,Overall Fit: True to Size,155,81,66,83,81.28,-1.4066965817296677
42,Item Size: XS,Overall Fit: True to Size,176,85,61,83,81.28,-1.4066965817296677
43,Item Size: XS,Overall Fit: True to Size,165,76,66,80,86.36,-1.4066965817296677
44,Item Size: XS,Overall Fit: True to Size,150,77,69,88,81.28,-1.4066965817296677
45,Item Size: XS,Overall Fit: True to Size,165,82,61,91,81.28,-1.4066965817296677
46,Item Size: XS,Overall Fit: True to Size,137,70,60,80,81.28,-1.4066965817296677
47,Item Size: XS,Overall Fit: True to Size,155,89,71,99,81.28,-1.4066965817296677
48,Item Size: XS,Overall Fit: True to Size,165,83,65,90,81.28,-1.4066965817296677
49,Item Size: XS,Overall Fit: True to Size,158,79,60,87,81.28,-1.4066965817296677
50,Item Size: XS,Overall Fit: True to Size,157,80,61,89,81.28,-1.4066965817296677
51,Item Size: XS,Overall Fit: True to Size,149,70,60,80,81.28,-1.4066965817296677
52,Item Size: XS,Overall Fit: True to Size,162,82,60,80,81.28,-1.4066965817296677
53,Item Size: XS,Overall Fit: True to Size,159,86,74,86,81.28,-1.4066965817296677
54,Item Size: XS,Overall Fit: True to Size,163,88,66,103,86.36,-1.4066965817296677
55,Item Size: XS,Overall Fit: True to Size,165,82,64,81,81.28,-1.4066965817296677
56,Item Size: XL,Overall Fit: True to Size,158,93,66,82,91.44,2.7213069312467835
57,Item Size: XL,Overall Fit: True to Size,168,88,77,94,86.36,2.7213069312467835
58,Item Size: XL,Overall Fit: True to Size,137,73,62,83,96.52,2.7213069312467835
59,Item Size: XL,Overall Fit: True to Size,175,97,79,101,91.44,2.7213069312467835
60,Item Size: XL,Overall Fit: True to Size,164,92,68,88,86.36,2.7213069312467835
61,Item Size: XL,Overall Fit: True to Size,171,94,79,99,86.36,2.7213069312467835
62,Item Size: XL,Overall Fit: True to Size,173,78,71,83,91.44,2.7213069312467835
63,Item Size: S,Overall Fit: True to Size,145,75,65,90,81.28,-0.374695703485555
64,Item Size: S,Overall Fit: True to Size,164,82,64,85,81.28,-0.374695703485555
65,Item Size: S,Overall Fit: True to Size,137,70,61,80,81.28,-0.374695703485555
66,Item Size: S,Overall Fit: True to Size,176,70,60,84,81.28,-0.374695703485555
67,Item Size: S,Overall Fit: True to Size,154,86,66,83,86.36,-0.374695703485555
68,Item Size: S,Overall Fit: True to Size,156,78,63,90,81.28,-0.374695703485555
69,Item Size: S,Overall Fit: True to Size,142,74,67,84,81.28,-0.374695703485555
70,Item Size: S,Overall Fit: True to Size,154,75,60,90,81.28,-0.374695703485555
