Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra,size
Item Size: L,Overall Fit: True to Size,172,91,71,102,34,100
Item Size: L,Overall Fit: True to Size,172,91,71,102,34,100
Item Size: L,Overall Fit: True to Size,163,91,70,103,36,100
Item Size: L,Overall Fit: True to Size,150,77,61,85,32,100
Item Size: L,Overall Fit: True to Size,170,100,75,100,36,100
Item Size: L,Overall Fit: True to Size,137,81,69,80,34,100
Item Size: L,Overall Fit: True to Size,137,104,80,115,38,100
Item Size: L,Overall Fit: True to Size,137,70,60,80,38,100
Item Size: M,Overall Fit: True to Size,137,70,60,80,32,75
Item Size: M,Overall Fit: True to Size,137,71,77,90,34,75
Item Size: M,Overall Fit: True to Size,162,84,66,87,34,75
Item Size: M,Overall Fit: True to Size,147,86,71,90,36,75
Item Size: M,Overall Fit: True to Size,137,70,60,80,32,75
Item Size: M,Overall Fit: True to Size,162,88,69,105,34,75
Item Size: M,Overall Fit: True to Size,162,92,71,92,36,75
Item Size: M,Overall Fit: True to Size,164,90,72,83,32,75
Item Size: M,Overall Fit: True to Size,167,92,71,92,36,75
Item Size: M,Overall Fit: True to Size,157,81,64,89,32,75
Item Size: M,Overall Fit: True to Size,165,80,70,94,34,75
Item Size: S,Overall Fit: True to Size,145,70,65,85,36,50
Item Size: S,Overall Fit: True to Size,145,70,65,85,36,50
Item Size: S,Overall Fit: True to Size,158,92,73,92,36,50
Item Size: S,Overall Fit: True to Size,158,92,73,92,36,50
Item Size: S,Overall Fit: True to Size,151,81,68,95,32,50
Item Size: S,Overall Fit: True to Size,160,83,69,87,32,50
Item Size: S,Overall Fit: True to Size,155,83,65,90,34,50
Item Size: S,Overall Fit: True to Size,160,77,60,89,32,50
Item Size: S,Overall Fit: True to Size,140,82,61,84,34,50
Item Size: S,Overall Fit: True to Size,153,83,66,82,32,50
Item Size: S,Overall Fit: True to Size,168,84,71,92,34,50
Item Size: S,Overall Fit: True to Size,140,82,61,84,34,50
Item Size: S,Overall Fit: True to Size,153,83,66,82,32,50
Item Size: S,Overall Fit: True to Size,168,84,71,92,34,50
Item Size: S,Overall Fit: True to Size,158,75,65,85,32,50
Item Size: S,Overall Fit: True to Size,155,87,65,87,34,50
Item Size: S,Overall Fit: True to Size,172,85,68,84,36,50
Item Size: XS,Overall Fit: True to Size,158,74,65,89,32,25
Item Size: XS,Overall Fit: True to Size,158,74,65,89,32,25
Item Size: XS,Overall Fit: True to Size,155,81,62,83,32,25
Item Size: XS,Overall Fit: True to Size,155,81,62,83,32,25
Item Size: XS,Overall Fit: True to Size,169,83,70,80,32,25
Item Size: XS,Overall Fit: True to Size,163,75,63,80,32,25
Item Size: XS,Overall Fit: True to Size,158,87,67,92,34,25
Item Size: XS,Overall Fit: True to Size,157,79,61,86,32,25
Item Size: XS,Overall Fit: True to Size,137,72,61,80,32,25
Item Size: XS,Overall Fit: True to Size,160,82,64,89,32,25
Item Size: XS,Overall Fit: True to Size,163,82,60,86,32,25
Item Size: XS,Overall Fit: True to Size,177,72,64,82,32,25
Item Size: XS,Overall Fit: True to Size,164,87,66,86,34,25
Item Size: XS,Overall Fit: True to Size,163,82,64,85,34,25
Item Size: XS,Overall Fit: True to Size,147,77,61,80,32,25
Item Size: XS,Overall Fit: True to Size,159,86,62,81,34,25
Item Size: XS,Overall Fit: True to Size,159,86,62,81,34,25
