Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra Size
Item Size: S,Overall Fit: Small,165,87,66,94,34
Item Size: XS,Overall Fit: True to Size,137,70,60,80,32
Item Size: XS,Overall Fit: True to Size,165,82,65,83,32
Item Size: XXS,Overall Fit: True to Size,178,84,72,93,32
Item Size: M,Overall Fit: True to Size,154,91,63,93,32
Item Size: S,Overall Fit: Large,149,76,66,103,34
Item Size: S,Overall Fit: True to Size,162,71,69,85,32
Item Size: M,Overall Fit: True to Size,162,84,69,89,32
Item Size: M,Overall Fit: True to Size,154,91,63,93,32
Item Size: S,Overall Fit: Large,149,76,66,103,34
Item Size: S,Overall Fit: True to Size,162,71,69,85,32
Item Size: M,Overall Fit: True to Size,162,84,69,89,32
Item Size: M,Overall Fit: Small,163,82,70,83,32
Item Size: M,Overall Fit: True to Size,171,94,74,91,36
Item Size: XS,Overall Fit: True to Size,163,82,61,87,32
Item Size: S,Overall Fit: True to Size,160,94,67,91,32
Item Size: M,Overall Fit: True to Size,164,71,62,91,34
Item Size: S,Overall Fit: True to Size,159,70,63,80,36
Item Size: M,Overall Fit: Large,163,94,69,92,36
Item Size: M,Overall Fit: True to Size,167,84,77,110,34
Item Size: XS,Overall Fit: True to Size,150,77,61,85,32
Item Size: M,Overall Fit: True to Size,149,71,62,82,34
Item Size: L,Overall Fit: Small,164,91,73,91,32
Item Size: XL,Overall Fit: True to Size,164,92,68,88,34
Item Size: M,Overall Fit: True to Size,160,71,69,80,34
Item Size: S,Overall Fit: True to Size,158,92,64,89,34
Item Size: XL,Overall Fit: Small,165,88,74,96,34
Item Size: L,Overall Fit: True to Size,137,87,68,92,34
Item Size: XL,Overall Fit: Small,167,92,71,85,36
Item Size: M,Overall Fit: True to Size,160,71,61,81,34
Item Size: S,Overall Fit: True to Size,137,70,60,80,32
Item Size: M,Overall Fit: Small,181,83,67,90,32
Item Size: L,Overall Fit: Small,160,92,60,111,32
Item Size: S,Overall Fit: Small,137,81,61,87,32
Item Size: S,Overall Fit: True to Size,158,83,63,84,32
Item Size: XS,Overall Fit: True to Size,140,82,66,82,32
Item Size: M,Overall Fit: Small,144,82,66,92,32
Item Size: L,Overall Fit: Small,164,95,74,103,36
Item Size: XXS,Overall Fit: True to Size,153,79,61,82,32
Item Size: S,Overall Fit: True to Size,160,79,64,91,32
Item Size: XS,Overall Fit: True to Size,157,81,68,86,32
Item Size: XS,Overall Fit: Small,171,82,64,89,34
Item Size: XS,Overall Fit: True to Size,150,70,60,80,34
Item Size: S,Overall Fit: True to Size,160,79,64,91,32
Item Size: XS,Overall Fit: True to Size,157,81,68,86,32
Item Size: XS,Overall Fit: Small,171,82,64,89,34
Item Size: XS,Overall Fit: True to Size,150,70,60,80,34
Item Size: M,Overall Fit: True to Size,173,82,66,89,34
Item Size: XL,Overall Fit: True to Size,171,94,79,99,34
Item Size: S,Overall Fit: True to Size,141,79,68,86,32
Item Size: M,Overall Fit: True to Size,170,87,71,97,34
Item Size: M,Overall Fit: True to Size,158,82,61,88,32
Item Size: XS,Overall Fit: True to Size,162,85,60,85,32
Item Size: L,Overall Fit: True to Size,163,87,69,88,34
Item Size: M,Overall Fit: True to Size,169,89,61,98,32
Item Size: S,Overall Fit: True to Size,157,85,65,87,34
Item Size: L,Overall Fit: Small,163,87,75,89,34
Item Size: XL,Overall Fit: Large,154,92,65,93,38
Item Size: S,Overall Fit: True to Size,175,82,70,84,32
Item Size: M,Overall Fit: Small,163,70,62,102,32
Item Size: L,Overall Fit: True to Size,168,84,74,95,34
Item Size: M,Overall Fit: True to Size,153,89,76,95,34
Item Size: M,Overall Fit: True to Size,157,87,68,93,34
Item Size: L,Overall Fit: Small,164,97,78,91,34
Item Size: XS,Overall Fit: True to Size,151,79,64,80,32
Item Size: L,Overall Fit: Large,137,80,69,85,32
Item Size: S,Overall Fit: True to Size,148,87,70,102,34
Item Size: S,Overall Fit: True to Size,150,74,65,88,34
Item Size: XL,Overall Fit: Small,158,99,80,102,36
Item Size: XL,Overall Fit: Small,170,87,71,88,34
Item Size: M,Overall Fit: Small,160,83,65,98,32
Item Size: XL,Overall Fit: True to Size,173,78,71,83,36
Item Size: S,Overall Fit: Small,176,82,66,86,32
Item Size: M,Overall Fit: Small,159,87,70,89,34
Item Size: M,Overall Fit: True to Size,158,86,63,89,34
Item Size: M,Overall Fit: Small,165,81,61,89,32
Item Size: S,Overall Fit: True to Size,165,85,71,93,34
Item Size: M,Overall Fit: Large,155,83,66,85,32
Item Size: M,Overall Fit: Small,160,92,71,94,34
Item Size: XS,Overall Fit: True to Size,155,82,61,84,32
Item Size: S,Overall Fit: Small,164,90,72,83,32
Item Size: XS,Overall Fit: True to Size,137,70,60,80,32
Item Size: S,Overall Fit: True to Size,163,77,62,90,32
Item Size: S,Overall Fit: Small,152,83,67,88,32
Item Size: S,Overall Fit: Small,155,79,61,92,32
Item Size: S,Overall Fit: True to Size,139,88,67,80,34
Item Size: S,Overall Fit: True to Size,163,83,65,84,34
Item Size: L,Overall Fit: Large,162,83,69,93,32
Item Size: L,Overall Fit: Small,137,70,60,80,34
Item Size: M,Overall Fit: Small,153,74,68,95,34
Item Size: M,Overall Fit: Small,153,71,70,80,32
Item Size: M,Overall Fit: Small,174,70,64,95,32
Item Size: M,Overall Fit: Small,140,82,63,91,32
Item Size: M,Overall Fit: True to Size,140,70,61,80,32
Item Size: XS,Overall Fit: True to Size,166,80,64,87,32
