Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra Size
Item Size: L,Overall Fit: True to Size,172,88,65,92,34
Item Size: S,Overall Fit: True to Size,153,87,71,97,34
Item Size: S,Overall Fit: Small,163,87,66,86,34
Item Size: L,Overall Fit: True to Size,168,94,78,92,34
Item Size: S,Overall Fit: True to Size,150,75,66,88,32
Item Size: S,Overall Fit: True to Size,165,74,61,88,34
Item Size: XS,Overall Fit: True to Size,159,82,70,80,32
Item Size: S,Overall Fit: True to Size,152,84,69,92,32
Item Size: XS,Overall Fit: Small,175,70,60,87,32
Item Size: M,Overall Fit: True to Size,156,76,60,91,34
Item Size: M,Overall Fit: True to Size,143,82,67,91,32
Item Size: XS,Overall Fit: True to Size,157,80,61,89,32
Item Size: L,Overall Fit: True to Size,160,93,75,93,34
Item Size: L,Overall Fit: True to Size,165,99,80,109,38
Item Size: L,Overall Fit: Large,138,72,66,102,34
Item Size: XS,Overall Fit: True to Size,168,77,63,80,32
Item Size: XS,Overall Fit: True to Size,150,90,60,80,32
Item Size: L,Overall Fit: True to Size,150,104,80,102,36
Item Size: XS,Overall Fit: Small,160,71,64,84,32
Item Size: XS,Overall Fit: True to Size,165,81,63,88,32
Item Size: XS,Overall Fit: True to Size,145,70,60,80,32
Item Size: S,Overall Fit: True to Size,151,96,74,94,36
Item Size: S,Overall Fit: True to Size,175,82,63,93,32
Item Size: M,Overall Fit: True to Size,172,89,70,102,36
Item Size: XS,Overall Fit: True to Size,145,70,60,80,32
Item Size: S,Overall Fit: True to Size,151,96,74,94,36
Item Size: S,Overall Fit: True to Size,175,82,63,93,32
Item Size: M,Overall Fit: True to Size,172,89,70,102,36
Item Size: M,Overall Fit: Small,137,70,60,80,32
Item Size: S,Overall Fit: True to Size,160,86,74,95,34
Item Size: S,Overall Fit: True to Size,162,74,62,84,32
Item Size: M,Overall Fit: True to Size,168,92,68,102,34
Item Size: M,Overall Fit: Small,155,87,70,85,34
Item Size: S,Overall Fit: Small,173,83,66,91,34
Item Size: L,Overall Fit: Small,164,90,80,81,34
Item Size: S,Overall Fit: True to Size,162,84,62,93,34
Item Size: M,Overall Fit: True to Size,150,88,71,99,34
Item Size: M,Overall Fit: Small,174,86,68,84,34
Item Size: S,Overall Fit: True to Size,194,82,71,88,32
Item Size: L,Overall Fit: True to Size,164,90,72,106,34
Item Size: M,Overall Fit: True to Size,164,90,61,90,34
Item Size: M,Overall Fit: True to Size,167,84,60,90,32
Item Size: M,Overall Fit: True to Size,165,92,78,92,34
Item Size: S,Overall Fit: True to Size,160,87,67,95,32
Item Size: L,Overall Fit: True to Size,182,88,76,99,34
Item Size: XS,Overall Fit: True to Size,137,87,61,89,34
Item Size: XS,Overall Fit: True to Size,171,82,64,100,34
Item Size: S,Overall Fit: True to Size,167,83,64,80,32
