Item Size,Overall Fit,Height,Bust,Waist,Hips,Bra Size
Item Size: M,Overall Fit: True to Size,157,92,69,95,36
Item Size: L,Overall Fit: True to Size,165,87,74,90,34
Item Size: S,Overall Fit: True to Size,168,82,64,80,32
Item Size: S,Overall Fit: Small,154,100,70,101,34
Item Size: M,Overall Fit: True to Size,157,92,69,95,36
Item Size: L,Overall Fit: True to Size,165,87,74,90,34
Item Size: S,Overall Fit: True to Size,168,82,64,80,32
Item Size: S,Overall Fit: Small,154,100,70,101,34
Item Size: S,Overall Fit: Small,151,86,73,99,34
Item Size: S,Overall Fit: True to Size,160,89,71,80,34
Item Size: S,Overall Fit: Small,137,70,60,80,32
Item Size: M,Overall Fit: True to Size,168,89,80,106,36
Item Size: XS,Overall Fit: True to Size,137,70,60,80,32
Item Size: S,Overall Fit: True to Size,137,77,74,89,32
Item Size: L,Overall Fit: True to Size,162,101,60,100,34
Item Size: S,Overall Fit: Small,142,73,63,83,32
Item Size: XS,Overall Fit: True to Size,155,89,71,99,32
Item Size: M,Overall Fit: True to Size,177,87,71,99,34
Item Size: L,Overall Fit: True to Size,153,83,74,102,32
Item Size: M,Overall Fit: Small,152,84,64,84,32
Item Size: XS,Overall Fit: True to Size,165,83,65,90,32
Item Size: S,Overall Fit: Small,161,88,66,99,36
Item Size: M,Overall Fit: Small,142,70,79,80,32
Item Size: M,Overall Fit: True to Size,170,82,68,84,34
Item Size: XS,Overall Fit: True to Size,158,79,60,87,32
Item Size: L,Overall Fit: True to Size,143,77,74,86,36
Item Size: XS,Overall Fit: True to Size,157,80,61,89,32
Item Size: L,Overall Fit: True to Size,168,90,68,90,34
Item Size: L,Overall Fit: True to Size,166,84,77,96,32
Item Size: L,Overall Fit: True to Size,170,88,65,86,34
Item Size: M,Overall Fit: True to Size,173,89,74,85,36
Item Size: L,Overall Fit: Small,160,97,80,104,36
Item Size: XS,Overall Fit: True to Size,149,70,60,80,32
Item Size: L,Overall Fit: Small,160,90,74,100,36
Item Size: M,Overall Fit: True to Size,138,78,72,85,34
Item Size: XS,Overall Fit: True to Size,162,82,60,80,32
Item Size: S,Overall Fit: True to Size,157,77,65,83,38
Item Size: S,Overall Fit: True to Size,159,74,67,80,34
Item Size: S,Overall Fit: True to Size,139,72,62,83,34
Item Size: S,Overall Fit: True to Size,137,70,60,80,32
Item Size: XS,Overall Fit: True to Size,159,86,74,86,32
Item Size: M,Overall Fit: True to Size,162,82,70,88,32
Item Size: M,Overall Fit: True to Size,137,86,71,109,34
Item Size: S,Overall Fit: True to Size,168,77,63,80,32
Item Size: S,Overall Fit: True to Size,159,80,73,92,34
Item Size: L,Overall Fit: True to Size,162,90,78,110,36
Item Size: M,Overall Fit: Small,139,78,64,82,32
Item Size: S,Overall Fit: True to Size,155,87,69,84,32
Item Size: M,Overall Fit: Small,153,82,60,90,34
Item Size: S,Overall Fit: True to Size,173,82,68,92,32
Item Size: L,Overall Fit: Small,154,81,76,88,36
Item Size: S,Overall Fit: Small,143,94,75,94,34
Item Size: S,Overall Fit: Small,168,84,63,83,32
Item Size: M,Overall Fit: True to Size,138,71,60,80,32
Item Size: M,Overall Fit: True to Size,154,79,66,90,32
Item Size: M,Overall Fit: True to Size,165,83,70,88,34
Item Size: S,Overall Fit: Small,158,84,78,92,36
Item Size: XS,Overall Fit: True to Size,163,88,66,103,34
Item Size: XS,Overall Fit: Small,160,88,66,93,32
Item Size: M,Overall Fit: Small,152,86,70,96,32
Item Size: M,Overall Fit: True to Size,144,89,68,80,32
Item Size: L,Overall Fit: Small,171,87,73,80,34
Item Size: XS,Overall Fit: Small,137,70,60,80,32
Item Size: L,Overall Fit: True to Size,164,74,64,84,36
Item Size: M,Overall Fit: True to Size,150,88,71,99,34
Item Size: S,Overall Fit: True to Size,148,80,65,83,32
Item Size: L,Overall Fit: True to Size,168,103,80,110,38
Item Size: M,Overall Fit: True to Size,152,70,64,93,36
Item Size: S,Overall Fit: True to Size,145,87,70,102,34
Item Size: M,Overall Fit: True to Size,155,82,66,102,32
Item Size: M,Overall Fit: True to Size,164,87,64,87,34
Item Size: M,Overall Fit: Small,172,85,71,101,34
Item Size: S,Overall Fit: True to Size,160,87,66,89,34
Item Size: S,Overall Fit: Small,165,79,74,85,34
Item Size: XS,Overall Fit: True to Size,165,82,64,81,32
Item Size: L,Overall Fit: Small,180,92,69,95,36
